en,de,fr,definition,category
main invention,Haupterfindung,"principale, invention ~",,"[""LAW""]"
main request,Hauptantrag,"principale, requête ~",,"[""LAW""]"
main claim,Hauptanspruch,"principale, revendication ~",,"[""LAW""]"
priority,Priorität,priorité,,"[""LAW""]"
priority claim,Prioritätsanspruch,"priorité,  revendication de ~",,"[""LAW""]"
"priority, ~ date, date of ~","Prioritätstag, Prioritätsdatum","priorité, date de (la) ~",,"[""LAW""]"
"priority, period of ~",Prioritätsfrist,"priorité, délai de ~",,"[""LAW""]"
"priority, giving rise to the right of ~",prioritätsbegründend,"priorité, donnant naissance au droit de ~",,"[""LAW""]"
"priority, ~ right, right of ~",Prioritätsrecht,"priorité, droit de ~",,"[""LAW""]"
"priority, to claim ~","Priorität, eine ~ in Anspruch nehmen, eine ~ beanspruchen","priorité, revendiquer la ~",,"[""LAW""]"
process,Verfahren,procédé,,"[""LAW""]"
"process, patented ~","Verfahren, patentiertes ~",procédé breveté,,"[""LAW""]"
process patent,Verfahrenspatent,"procédé, brevet de ~",,"[""LAW""]"
process/method claim,Verfahrensanspruch,"procédé, revendication de ~",,"[""LAW""]"
proceedings,Verfahren,procédure,,"[""LAW""]"
proceedings for grant,Erteilungsverfahren,procédure de délivrance,,"[""LAW""]"
"proceedings, written ~","Verfahren, schriftliches ~",procédure écrite,,"[""LAW""]"
"procedure, patent ~",Patentverfahren,procédure en matière de brevets,,"[""LAW""]"
oral proceedings,mündliche Verhandlung,procédure orale,,"[""LAW""]"
"proceedings, to institute ~","Verfahren, ein ~ einleiten","procédure,  introduire une ~",,"[""LAW""]"
"procedure, abuse of ~",Verfahrensmissbrauch,"procédure, abus de ~",,"[""LAW""]"
"proceedings, to intervene in the ~","Verfahren, dem ~ beitreten","procédure, intervenir dans la ~",,"[""LAW""]"
"proceedings, language of the ~",Verfahrenssprache,"procédure, langue de la ~",,"[""LAW""]"
"procedural violation, procedural defect, procedural flaw",Verfahrensmangel,"procédure, vice de ~",,"[""LAW""]"
enforcement procedures,Durchsetzungsverfahren,procédures destinées à faire respecter des droits,,"[""LAW""]"
minutes of the oral proceedings,Niederschrift über die mündliche Verhandlung,procès-verbal des procédures orales,,"[""LAW""]"
proprietorship,Rechtinhaberschaft,propriété,,"[""LAW""]"
"property, industrial ~","Eigentum, gewerbliches ~",propriété industrielle,,"[""LAW""]"
industrial property protection,gewerblicher Rechtsschutz,protection de la propriété industrielle,,"[""LAW""]"
"protection sought, desired protection",Schutzbegehren (begehrter Schutz),protection demandée,,"[""LAW""]"
"protection, unitary patent ~","Patentschutz, einheitlicher ~",protection unitaire par brevet,,"[""LAW""]"
A1 publication/A1 document,A1-Schrift,publication A1,(Application as published) shorter : the A1,"[""LAW""]"
spray,Zerstäubung,pulvérisation,,"[""TECH"",""CHEM""]"
search report,Recherchenbericht,rapport de recherche,,"[""LAW""]"
molar ratio,Molverhältnis,rapport en moles,,"[""TECH"",""CHEM""]"
rapporteur,Berichterstatter,rapporteur,,"[""LAW""]"
admissibility (of the referral),Zulässigkeit (der Vorlage),recevabilité (de la saisine),,"[""LAW""]"
admissible (application),zulässig(er Antrag),"recevable, (requête) ~",,"[""LAW""]"
"search, (earlier) ~","Recherche, (frühere) ~",recherche (antérieure),,"[""LAW""]"
appeal,Beschwerde,recours,,"[""LAW"",""APPEAL""]"
"remedy, legal ~",Rechtsbehelf,"recours légal, mesure corrective",,"[""LAW""]"
"appeal, to deem an ~ allowable, to allow an ~, to rectify the contested decision","Beschwerde, der ~ stattgeben/ abhelfen","recours, faire droit au ~",,"[""LAW"",""APPEAL""]"
"appeal, statement of grounds of ~, statements setting out the grounds of ~",Beschwerdebegründung,"recours, mémoire exposant les motifs du ~",,"[""LAW"",""APPEAL""]"
"system, Community patent ~","Patentsystem, gemeinschaftliches ~",régime communautaire de brevets,,"[""LAW""]"
rejection of the opposition or appeal,Verwerfung des Einspruchs oder der Beschwerde,rejet de l’opposition ou du recours,,"[""LAW""]"
rejection of the opposition,Zurückweisung des Einspruchs,rejet de l'opposition,,"[""LAW""]"
"refuse, to ~",zurückweisen,rejeter,,"[""LAW""]"
surrender,Verzicht,renonciation,,"[""LAW""]"
surrender of patent,"Verzicht, ~ auf das Patent",renonciation au brevet,,"[""LAW""]"
"surrender, statement of ~",Verzichtserklärung,"renonciation, déclaration de ~",,"[""LAW""]"
"remit the case for further prosecution, to ~","zurückverweisen, die Angelegenheit zur weiteren Entscheidung ~",renvoyer l'affaire pour suite à donner,,"[""LAW""]"
re-opening of the proceedings,Wiedereröffnung des Verfahrens,réouverture de la procédure,,"[""LAW""]"
resume the proceedings,"fortsetzen, das Verfahren",reprendre la procédure,,"[""NEW""]"
"feasibility, reproducibility, repeatability","Ausführbarkeit, Nacharbeitbarkeit, Wiederholbarkeit","reproductibilité, possibilité d'exécution",,"[""LAW""]"
appellant,Beschwerdeführer,requérant,,"[""LAW"",""APPEAL""]"
request,Antrag,requête,,"[""LAW""]"
"reservation, withdrawal of ~","Vorbehalt, Zurücknahme eines ~s","réserve, retrait de la ~, retrait de ~",,"[""LAW""]"
"re-establishment of rights, restitutio in integrum",Wiedereinsetzung in den vorigen Stand,"restitutio in integrum, rétablissement du droit",,"[""LAW""]"
"re-establishment of rights, fee for ~",Wiedereinsetzungsgebühr,"restitutio in integrum, taxe de ~",,"[""LAW""]"
retentate,Retentat,rétentat,,"[""TECH"",""CHEM""]"
"cross-linked, cross-linker","quervernetzt, Quervernetzung, Vernetzer","réticulé, agent de réticulation",,"[""TECH"",""CHEM""]"
"withdrawn, to be deemed to be ~, to be considered ~","zurückgenommen, als ~ gelten","retiré, être considéré comme ~, être réputé ~",,"[""LAW""]"
"withdraw, to ~",zurücknehmen,retirer,,"[""LAW""]"
"withdrawal (of the opposition, of the appeal)","Rücknahme (des Einspruchs, der Beschwerde)","retrait (de l'opposition, du recours)",,"[""LAW""]"
"withdrawal, notice of ~",Zurücknahmeerklärung,"retrait, déclaration de ~",,"[""LAW""]"
product-by-process claim,Product-by-Process-Anspruch,"revendication ""product-by-process""",Anspruch für ein durch sein Herstellungsverfahren gekennzeichnetes Erzeugnis,"[""LAW""]"
"dependent claim, (sub-claim)",Unteranspruch,"revendication dépendante, (sous-revendication)",,"[""LAW""]"
"claims, latest filed ~","Patentansprüche, zuletzt eingereichte ~",revendications déposées en dernier lieu,,"[""LAW""]"
claims as granted,Patentansprüche in der erteilten Fassung,revendications du brevet tel que délivré,,"[""LAW""]"
revocation of the patent in its entirety,Widerruf des Patents in vollem Umfang,révocation du brevet dans son intégralité,,"[""LAW""]"
revocation proceedings,Widerrufsverfahren,"révocation, procédure de ~",,"[""LAW""]"
"ineffective, to make ~","unwirksam, für ~ erklären","sans effet, déclarer ~",,"[""LAW""]"
"saturated, unsaturated, polyunsaturated","gesättigt/ungesättigt, mehrfach ungesättigt","saturé, insaturé, polyinsaturé",,"[""TECH"",""CHEM""]"
selection invention,Auswahlerfindung,"sélection, invention de ~",,"[""LAW""]"
solvent,Lösungsmittel,solvant,,"[""TECH"",""CHEM""]"
headnote,Leitsatz,sommaire,,"[""LAW""]"
sodium hydroxide,Natronlauge (Natriumhydroxid),soude caustique,,"[""TECH"",""CHEM""]"
sulphur (sulfur),Schwefel,soufre,,"[""TECH"",""CHEM""]"
stabiliser - stabilising agent,Stabilisator - Stabilisierungsmittel,stabilisant - agent stabilisant,,"[""TECH"",""CHEM""]"
"active ingredient, active pharmaceutical ingredient",Wirkstoff,substance active,,"[""TECH"",""CHEM""]"
flavouring,Aromastoff,substance aromatique,,"[""TECH"",""CHEM""]"
fragrance vs. perfume,Duftstoff vs. Riechstoff,substance parfumante vs. un parfum,,"[""TECH"",""CHEM""]"
"alternate representative, to appoint an ~","Stellvertreter, einen ~ bestellen","suppléant, désigner un ~, constituer un ~",,"[""LAW""]"
supernatant,Überstand,surnageant,,"[""TECH"",""CHEM""]"
adjourn for deliberation,sich zur Beratung zurückziehen,suspendre la procédure orale afin de délibérer,,"[""LAW""]"
stay of proceedings,Aussetzung des Verfahrens,suspension de la procédure,,"[""LAW""]"
late-filed,"verspätet vorgebracht, verspätet eingereicht","tardivement, invoqué ~, produit ~, déposé ~",,"[""LAW""]"
renewal fee,"Jahresgebühr, Gebühr für die Aufrechterhaltung","taxe annuelle, taxe de maintien en vigueur",,"[""LAW""]"
witnesses and experts,Zeugen und Sachverständige,témoins et experts,,"[""LAW""]"
ambient temperature,Umgebungstemperatur,température ambiante,,"[""TECH"",""CHEM""]"
glass transition temperature,Glasübergangstemperatur,température de transition vitreuse,,"[""TECH"",""CHEM""]"
surfactant,Tensid,tensioactif,,"[""TECH"",""CHEM""]"
"ionic, anionic, non-ionic, zwitterionic, amphoteric surfactant","ionisches, anionisches, nicht ionisches, zwitterionisches, amphoteres Tensid (= Ampho-Tensid)","tensioactif ionique, anionique, non ionique, zwittérionique, amphotère",,"[""TECH"",""CHEM""]"
text,Fassung,texte,,"[""LAW""]"
text intended for grant,"Fassung, für die Erteilung vorgesehene ~",texte dans lequel il est envisagé de délivrer le brevet,,"[""LAW""]"
"text, authentic ~","Fassung, verbindliche ~",texte faisant foi,,"[""LAW""]"
"text, full ~ of the claims as filed/as amended","Wortlaut, voller ~ der ursprünglich eingereichten Ansprüche/der geänderten Ansprüche",texte intégral des revendications telles que déposées /telles que modifiées,,"[""LAW""]"
title of the invention,Bezeichnung der Erfindung,titre de l'invention,,"[""LAW""]"
owner of the invention,Inhaber der Erfindung,titulaire de l'invention,,"[""LAW""]"
patent proprietor,Patentinhaber,titulaire du brevet,#NAME?,"[""LAW""]"
"transfer (of a patent, of a patent application, of a licence...)","Rechtsübergang (Übergang eines Patents, einer Patentanmeldung, einer Lizenz...)","transfert (du brevet, d'une demande de brevet, d'une licence...)",,"[""LAW""]"
"transfer of (the) right, partial ~","Übergang des Rechts, teilweiser ~",transfert partiel du droit,,"[""LAW""]"
conversion,Umwandlung,transformation,,"[""LAW""]"
carboxylic acid,Carbonsäure,un acide carboxylique,,"[""TECH"",""CHEM""]"
impeller,Pumpenrad,un impulseur,,"[""TECH"",""CHEM""]"
radical,Rest (von einem Molekül etc.),"un radical, un reste",,"[""TECH"",""CHEM""]"
unity of invention,Einheitlichkeit der Erfindung,"unité de l’invention, unité d'invention",,"[""LAW""]"
"prior use, public ~","Vorbenutzung, offenkundige ~","usage antérieur, ~ public, utilisation antérieure publique, utilisation antérieure accessible au public",,"[""LAW""]"
"use of the invention, principal ~","Verwendungsmöglichkeit der Erfindung, hauptsächliche ~",usage principal de l'invention,,"[""LAW""]"
"use, made available to the public by ~","Benutzung, der Öffentlichkeit durch ~ zugänglich gemacht","usage, rendu accessible au public par un ~",,"[""LAW""]"
user of the invention,Benutzer der Erfindung,utilisateur de l'invention,,"[""LAW""]"
use claim,Verwendungsanspruch,"utilisation, revendication d'~",,"[""LAW""]"
validity of the patent,Rechtsgültigkeit des Patents,validité du brevet,,"[""LAW""]"
"violation of a provision, fundamental ~","Verstoß gegen eine Bestimmung, schwerwiegender ~",violation fondamentale d'une disposition,,"[""LAW""]"
